DATE,DEXJPUS,DEXUSUK
2014-09-08,105.65,1.6141
2014-09-09,106.32,1.6088
2014-09-10,106.76,1.6134
2014-09-11,106.87,1.6225
2014-09-12,107.24,1.6243
2014-09-15,107.18,1.6243
2014-09-16,106.91,1.629
2014-09-17,107.58,1.6329
2014-09-18,108.69,1.6372
2014-09-19,108.96,1.6314
2014-09-22,108.88,1.634
2014-09-23,108.82,1.637
2014-09-24,108.92,1.6344
2014-09-25,108.7,1.6313
2014-09-26,109.32,1.6254
2014-09-29,109.34,1.6262
2014-09-30,109.66,1.622
2014-10-01,109.3,1.6216
2014-10-02,108.1,1.614
2014-10-03,109.7,1.5962
2014-10-06,109.08,1.6029
2014-10-07,108.3,1.6072
2014-10-08,108.41,1.6068
2014-10-09,108.0,1.6123
2014-10-10,107.83,1.6049
2014-10-13,,
2014-10-14,107.15,1.593
2014-10-15,106.06,1.5959
2014-10-16,105.98,1.6065
2014-10-17,106.72,1.6086
2014-10-20,106.87,1.6137
2014-10-21,106.7,1.6134
2014-10-22,107.32,1.607
2014-10-23,108.16,1.6037
2014-10-24,108.06,1.6098
2014-10-27,107.71,1.6133
2014-10-28,108.0,1.6157
2014-10-29,108.1,1.6149
2014-10-30,108.94,1.6023
2014-10-31,112.09,1.5999
2014-11-03,113.92,1.5986
2014-11-04,113.44,1.5991
2014-11-05,114.62,1.5984
2014-11-06,114.87,1.5862
2014-11-07,114.73,1.5844
2014-11-10,114.78,1.5857
2014-11-11,,
2014-11-12,115.42,1.5815
2014-11-13,115.63,1.5717
2014-11-14,116.52,1.5657
2014-11-17,116.44,1.5645
2014-11-18,116.76,1.5648
2014-11-19,117.7,1.567
2014-11-20,118.14,1.5683
2014-11-21,117.74,1.5672
2014-11-24,118.39,1.5701
2014-11-25,117.99,1.5714
2014-11-26,117.6,1.5787
2014-11-27,,
2014-11-28,118.7,1.5638
2014-12-01,118.14,1.5743
2014-12-02,119.1,1.5651
2014-12-03,119.82,1.57
2014-12-04,119.67,1.5707
2014-12-05,121.38,1.56
2014-12-08,120.89,1.5625
2014-12-09,118.87,1.5694
2014-12-10,118.5,1.5689
2014-12-11,119.4,1.5712
2014-12-12,118.22,1.5728
2014-12-15,117.75,1.5663
2014-12-16,117.28,1.5736
2014-12-17,117.64,1.5652
2014-12-18,118.84,1.5662
2014-12-19,119.56,1.5609
2014-12-22,119.84,1.5618
2014-12-23,120.68,1.5517
2014-12-24,120.45,1.5549
2014-12-25,,
2014-12-26,,
2014-12-29,120.57,1.5524
2014-12-30,119.34,1.5573
2014-12-31,119.85,1.5578
2015-01-01,,
2015-01-02,120.2,1.5361
2015-01-05,119.64,1.5234
2015-01-06,118.26,1.5174
2015-01-07,119.52,1.5073
2015-01-08,119.51,1.5118
2015-01-09,118.66,1.5151
2015-01-12,118.32,1.5168
2015-01-13,118.16,1.5166
2015-01-14,116.78,1.5234
2015-01-15,116.95,1.5161
2015-01-16,117.45,1.5132
2015-01-19,,
2015-01-20,118.48,1.5162
2015-01-21,117.86,1.5118
2015-01-22,117.92,1.5052
2015-01-23,117.8,1.5022
2015-01-26,118.38,1.5088
2015-01-27,117.62,1.5196
2015-01-28,117.74,1.5165
2015-01-29,118.31,1.5043
2015-01-30,117.44,1.5026
2015-02-02,117.33,1.5027
2015-02-03,117.48,1.5129
2015-02-04,117.58,1.5209
2015-02-05,117.4,1.5293
2015-02-06,119.16,1.5247
2015-02-09,118.7,1.5217
2015-02-10,119.32,1.5252
2015-02-11,120.38,1.5232
2015-02-12,118.72,1.538
2015-02-13,118.7,1.5394
2015-02-16,,
2015-02-17,118.99,1.5349
2015-02-18,119.19,1.543
2015-02-19,118.84,1.5451
2015-02-20,118.68,1.5385
2015-02-23,118.88,1.5465
2015-02-24,119.13,1.5434
2015-02-25,118.88,1.5499
2015-02-26,119.36,1.5424
2015-02-27,119.72,1.5439
2015-03-02,120.06,1.5371
2015-03-03,119.47,1.5391
2015-03-04,119.76,1.5266
2015-03-05,120.22,1.5229
2015-03-06,120.93,1.5063
2015-03-09,121.17,1.5097
2015-03-10,121.2,1.5086
2015-03-11,121.5,1.4945
2015-03-12,121.28,1.4907
2015-03-13,121.17,1.4755
2015-03-16,121.3,1.48
2015-03-17,121.28,1.4744
2015-03-18,120.92,1.4686
2015-03-19,120.9,1.4729
2015-03-20,120.28,1.4923
2015-03-23,119.74,1.4936
2015-03-24,119.9,1.487
2015-03-25,119.37,1.4915
2015-03-26,119.01,1.4844
2015-03-27,119.15,1.4878
2015-03-30,120.11,1.4792
2015-03-31,119.96,1.485
2015-04-01,119.62,1.4823
2015-04-02,119.74,1.4842
2015-04-03,118.96,1.4916
2015-04-06,119.05,1.4959
2015-04-07,120.36,1.4857
2015-04-08,119.96,1.4924
2015-04-09,120.32,1.4739
2015-04-10,120.29,1.4648
2015-04-13,120.32,1.4658
2015-04-14,119.26,1.479
2015-04-15,119.23,1.4782
2015-04-16,119.18,1.4923
2015-04-17,119.02,1.4942
2015-04-20,119.27,1.4913
2015-04-21,119.45,1.4944
2015-04-22,119.9,1.5027
2015-04-23,119.69,1.5047
2015-04-24,118.98,1.5176
2015-04-27,119.12,1.5235
2015-04-28,118.8,1.5328
2015-04-29,118.83,1.5485
2015-04-30,119.86,1.5328
2015-05-01,120.21,1.5137
2015-05-04,120.25,1.5118
2015-05-05,119.87,1.5178
2015-05-06,119.42,1.5244
2015-05-07,119.74,1.5223
2015-05-08,119.78,1.5455
2015-05-11,120.05,1.5593
2015-05-12,119.8,1.5685
2015-05-13,119.09,1.5748
2015-05-14,119.2,1.5766
2015-05-15,119.36,1.5772
2015-05-18,119.82,1.5679
2015-05-19,120.58,1.5523
2015-05-20,121.28,1.5544
2015-05-21,121.06,1.5672
2015-05-22,121.45,1.5484
2015-05-25,,
2015-05-26,123.08,1.5398
2015-05-27,123.76,1.5324
2015-05-28,124.18,1.5291
2015-05-29,123.98,1.5286
2015-06-01,124.64,1.5187
2015-06-02,124.19,1.5331
2015-06-03,124.06,1.5351
2015-06-04,124.56,1.5367
2015-06-05,125.58,1.5267
2015-06-08,125.08,1.528
